time,source,dest,protocol,size,description,website
8.888955218,172.28.0.2,35.186.194.58,QUIC,1399,"Protected Payload (KP0), DCID=e74fce2ba59ad0f8",github
8.893722754,35.186.194.58,172.28.0.2,QUIC,68,"Protected Payload (KP0), DCID=b495e7",github
8.894549065,172.28.0.2,35.186.194.58,QUIC,1399,"Protected Payload (KP0), DCID=e74fce2ba59ad0f8",github
8.894681944,172.28.0.2,35.186.194.58,QUIC,1399,"Protected Payload (KP0), DCID=e74fce2ba59ad0f8",github
8.901162374,35.186.194.58,172.28.0.2,QUIC,68,"Protected Payload (KP0), DCID=b495e7",github
8.901437477,172.28.0.2,35.186.194.58,QUIC,1399,"Protected Payload (KP0), DCID=e74fce2ba59ad0f8",github
8.901543295,172.28.0.2,35.186.194.58,QUIC,1259,"Protected Payload (KP0), DCID=e74fce2ba59ad0f8",github
8.906997617,35.186.194.58,172.28.0.2,QUIC,68,"Protected Payload (KP0), DCID=b495e7",github
8.907303723,172.28.0.2,35.186.194.58,QUIC,1399,"Protected Payload (KP0), DCID=e74fce2ba59ad0f8",github
8.907472058,172.28.0.2,35.186.194.58,QUIC,1399,"Protected Payload (KP0), DCID=e74fce2ba59ad0f8",github
8.912349038,35.186.194.58,172.28.0.2,QUIC,68,"Protected Payload (KP0), DCID=b495e7",github
8.912581784,172.28.0.2,35.186.194.58,QUIC,1399,"Protected Payload (KP0), DCID=e74fce2ba59ad0f8",github
8.912649270,172.28.0.2,35.186.194.58,QUIC,1399,"Protected Payload (KP0), DCID=e74fce2ba59ad0f8",github
8.920994558,192.168.65.7,172.28.0.2,DNS,338,Standard query response 0x7e33 A browser.events.data.microsoft.com CNAME browser.events.data.trafficmanager.net CNAME onedscolprdweu01.westeurope.cloudapp.azure.com A 20.50.201.195,github
8.921617340,172.28.0.2,20.50.201.195,TCP,74,54706 → 443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=3346429265 TSecr=0 WS=128,github
8.921867429,172.28.0.2,20.50.201.195,TCP,74,54708 → 443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=3346429265 TSecr=0 WS=128,github
8.924256076,35.186.194.58,172.28.0.2,QUIC,68,"Protected Payload (KP0), DCID=b495e7",github
8.924487801,20.50.201.195,172.28.0.2,TCP,74,"443 → 54708 [SYN, ACK] Seq=0 Ack=1 Win=29184 Len=0 MSS=1460 TSval=2597824129 TSecr=3346429265 WS=32",github
8.924507999,172.28.0.2,20.50.201.195,TCP,66,54708 → 443 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3346429268 TSecr=2597824129,github
8.924569023,172.28.0.2,35.186.194.58,QUIC,1399,"Protected Payload (KP0), DCID=e74fce2ba59ad0f8",github
